work_year,experience_level,salary_in_usd,remote_ratio,company_size,job_category,company_continent,employee_continent
2022,SE,"[150 000, 200 000[",100,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[200 000, 250 000[",100,M,ML ENGINEERING,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,ML ENGINEERING,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA ARCHITECTURE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA ARCHITECTURE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA ANALYSIS,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA ANALYSIS,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[50 000, 100 000[",100,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[200 000, 250 000[",0,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",0,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,L,ML ENGINEERING,Americas,Americas
2022,SE,"[100 000, 150 000[",100,L,ML ENGINEERING,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[200 000, 250 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",0,M,DATA ANALYSIS,Americas,Americas
2022,SE,"[50 000, 100 000[",0,M,DATA ANALYSIS,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[200 000, 250 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA SCIENCE,Americas,Americas
2022,SE,"[150 000, 200 000[",0,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[100 000, 150 000[",0,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,ML ENGINEERING,Americas,Americas
2022,SE,"[50 000, 100 000[",100,M,ML ENGINEERING,Americas,Americas
2022,MI,"[100 000, 150 000[",100,M,DATA ENGINEERING,Americas,Americas
2022,MI,"[50 000, 100 000[",100,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[100 000, 150 000[",0,M,DATA ENGINEERING,Americas,Americas
2022,SE,"[100 000, 150 000[",0,M,DATA ENGINEERING,Americas,Americas
2022,MI,"[150 000, 200 000[",100,L,DATA ANALYSIS,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA ANALYSIS,Americas,Americas
2022,SE,"[100 000, 150 000[",100,M,DATA ANALYSIS,Americas,Americas
2022,SE,"[150 000, 200 000[",100,L,DATA ARCHITECTURE,Americas,Americas
